City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Flin Flon,54.7682,-101.865,30.04,80,100,8.05,CA,1666736750
Dauphin,51.1494,-100.0502,33.94,69,100,14.97,CA,1666736750
Umm Hājar,13.2954,19.6966,81.7,16,2,14.83,TD,1666736750
Maragogi,-9.0122,-35.2225,77.58,79,45,11.36,BR,1666736751
Bykovo,55.6361,38.0803,37.42,93,0,6.71,RU,1666736751
Malayal,7.208,121.942,76.8,86,94,3.29,PH,1666736751
Faanui,-16.4833,-151.75,79.59,77,99,24.38,PF,1666736457
Wajima,37.4,136.9,59.09,59,64,12.95,JP,1666736752
Ozernovskiy,51.5,156.5167,40.3,59,80,5.57,RU,1666736752
Tilichiki,60.4667,166.1,30.11,75,80,16.37,RU,1666736752
Laurel,39.0993,-76.8483,63.61,93,100,5.75,US,1666736716
Jiaocheng,24.6774,116.1389,59.81,79,87,1.52,CN,1666736753
Biak,-0.9131,122.8766,77.68,81,99,2.42,ID,1666736753
Yakima,46.4665,-120.6678,55.33,58,40,11.5,US,1666736493
Umluj,25.0213,37.2685,78.39,62,0,6.2,SA,1666736753
Karoi,-16.8099,29.6925,72.16,45,3,3.78,ZW,1666736754
kimparana,12.8347,-4.9244,83.93,22,99,7.4,ML,1666736754
Bayjī,34.9311,43.487,69.73,22,35,6.91,IQ,1666736754
Abnūb,27.2696,31.1511,68.22,36,12,7.47,EG,1666736755
Viedma,-40.8135,-62.9967,68.47,56,98,14.88,AR,1666736755
Palmer,42.1584,-72.3287,68.25,82,40,5.75,US,1666736699
Stary Krym,45.0333,35.1,52.02,88,87,9.6,UA,1666736755
Posse,-14.0931,-46.3694,78.67,38,57,2.89,BR,1666736756
Coron,11.9986,120.2043,78.69,87,98,1.99,PH,1666736756
Semey,50.4111,80.2275,19.62,79,0,8.95,KZ,1666736867
Christchurch,-43.5333,172.6333,63.48,66,83,5.75,NZ,1666736867
Hamilton,39.1834,-84.5333,75.88,51,100,12.66,US,1666736645
Mangai,-4.05,19.5333,69.08,96,55,2.51,CD,1666736757
Dakar,14.6937,-17.4441,82.53,89,75,13.8,SN,1666736664
Touros,-5.1989,-35.4608,78.15,76,55,14.83,BR,1666736757
Kamenka,51.3223,42.7678,34.93,66,29,4.97,RU,1666736757
Muyinga Province,-2.8333,30.3333,64.08,65,98,2.71,BI,1666736758
Batagay-Alyta,67.8006,130.4114,14.25,71,100,6.91,RU,1666736281
Bollnäs,61.3482,16.3946,43.45,97,100,5.48,SE,1666736758
Cabra,37.4725,-4.4421,67.23,50,98,1.61,ES,1666736758
Luganville,-15.5333,167.1667,81.73,76,23,3.18,VU,1666736759
Mandalgovi,45.7625,106.2708,20.46,65,1,4.97,MN,1666736759
Escárcega,18.6089,-90.7454,93.02,47,66,5.06,MX,1666736759
Oruro,-17.9833,-67.15,63.09,29,40,16.11,BO,1666736760
Xining,36.6167,101.7667,44.22,90,100,0.43,CN,1666736691
Shenjiamen,29.9576,122.298,65.28,73,100,7.31,CN,1666736869
Santa Rosa,14.3122,121.1114,76.98,97,93,7.83,PH,1666736870
Gulu,2.7746,32.299,66.61,84,72,2.95,UG,1666736760
Cabo San Lucas,22.8909,-109.9124,87.62,54,20,11.5,MX,1666736630
Ostrovnoy,68.0531,39.5131,31.19,88,93,17.43,RU,1666736761
Saint George,37.1041,-113.5841,67.42,22,0,3.0,US,1666736870
Puerto Carreño,6.189,-67.4859,89.58,58,20,3.44,CO,1666736761
Kommunisticheskiy,61.6789,64.4819,24.8,95,43,4.41,RU,1666736761
Leningradskiy,69.3833,178.4167,2.71,89,59,5.03,RU,1666736871
Bosobolo,4.1833,19.9,70.77,96,99,1.36,CD,1666736762
Kharitonovo,61.4009,47.4978,28.76,97,25,4.23,RU,1666736468
Aquiraz,-3.9014,-38.3911,80.69,77,71,10.92,BR,1666736556
Leh,34.1667,77.5833,29.44,49,0,0.65,IN,1666736762
Paamiut,61.994,-49.6678,30.6,60,24,5.37,GL,1666736872
Fes,34.0372,-4.9998,70.05,30,0,8.05,MA,1666736763
Chuguyevka,44.1653,133.8633,32.45,61,0,4.65,RU,1666736763
Trincomalee,8.5711,81.2335,78.96,78,25,2.64,LK,1666736764
Narón,43.5167,-8.1528,67.59,76,80,17.47,ES,1666736764
Road Town,18.4167,-64.6167,84.29,84,20,4.61,VG,1666736765
Valle de Allende,26.9333,-105.4,73.76,28,59,2.48,MX,1666736765
Almaşu Mare,46.1,23.1333,48.87,97,49,3.65,RO,1666736765
Jimeta,9.2833,12.4667,82.63,78,0,0.0,NG,1666736873
Port Jervis,41.3751,-74.6927,69.58,95,100,3.58,US,1666736766
Nalobikha,53.2006,84.6039,31.05,60,0,5.53,RU,1666736767
Vung Tau,10.346,107.0843,80.31,84,99,6.67,VN,1666736767
Jerez,14.1,-89.75,77.45,78,40,0.0,GT,1666736767
Marquard,-28.6645,27.4305,61.88,23,69,2.98,ZA,1666736768
Dudinka,69.4058,86.1778,-1.08,100,98,5.68,RU,1666736768
Doctor Arroyo,23.6667,-100.1833,75.78,47,86,15.93,MX,1666736769
Januária,-15.4833,-44.3667,86.09,29,76,4.94,BR,1666736874
Kota Kinabalu,5.9749,116.0724,75.18,88,20,5.75,MY,1666736769
Rodeo,38.033,-122.2669,78.12,56,0,8.01,US,1666736770
Codrington,-38.2667,141.9667,57.87,96,99,10.38,AU,1666736770
Ribas do Rio Pardo,-20.4431,-53.7592,79.88,42,0,6.49,BR,1666736770
Pangkalanbuun,-2.6833,111.6167,73.2,99,100,2.28,ID,1666736771
Mount Gambier,-37.8333,140.7667,58.91,94,100,8.05,AU,1666736771
São Sepé,-30.1606,-53.5653,67.19,68,3,5.88,BR,1666736689
Omboué,-1.5746,9.2618,77.05,88,97,2.51,GA,1666736772
Ilulissat,69.2167,-51.1,26.62,93,100,4.61,GL,1666736275
Kuytun,54.3419,101.5036,25.47,66,4,6.06,RU,1666736772
Kemijärvi,66.7131,27.4306,30.11,79,100,6.4,FI,1666736773
Pertuis,43.6925,5.5028,67.48,70,59,6.96,FR,1666736773
Brenham,30.1669,-96.3977,73.35,30,0,10.36,US,1666736587
Navur,40.8669,45.3418,39.74,80,18,2.98,AM,1666736773
Amahai,-3.3333,128.9167,79.83,83,92,1.99,ID,1666736278
Santa Cruz de la Sierra,-17.8,-63.1667,91.45,46,20,12.66,BO,1666736774
Hasaki,35.7333,140.8333,56.21,63,100,29.91,JP,1666736774
Galle,6.0367,80.217,77.2,86,100,3.24,LK,1666736775
Progreso,21.2833,-89.6667,91.51,80,87,12.03,MX,1666736775
Dayong,25.0209,118.2898,56.71,83,50,4.32,CN,1666736775
Akureyri,65.6835,-18.0878,39.13,81,100,3.44,IS,1666736567
Shahr-e Bābak,30.1165,55.1186,60.64,19,14,3.29,IR,1666736776
Aripuanã,-9.1667,-60.6333,73.6,92,100,1.74,BR,1666736877
Andalan,5.9594,121.3903,78.94,85,99,9.6,PH,1666736776
Safaga,26.7292,33.9365,77.02,42,0,3.96,EG,1666736777
Gravdal,68.1214,13.5031,40.95,65,90,1.57,NO,1666736777
Makarov,48.6333,142.8,40.26,84,43,8.37,RU,1666736777
Komsomol'skoye,55.2567,47.5461,31.14,88,61,5.82,RU,1666736778
Gondanglegi,-7.7479,112.0132,75.31,84,99,10.56,ID,1666736778
Coahuayana Viejo,18.7333,-103.6833,83.52,76,81,5.35,MX,1666736778
Port Augusta,-32.5,137.7667,60.58,82,71,7.31,AU,1666736779
Kadoma,34.7333,135.5833,57.18,73,20,1.14,JP,1666736779
Valparaíso,-33.0393,-71.6273,60.48,92,75,9.22,CL,1666736779
Punta de Bombón,-17.1717,-71.7931,63.1,74,12,6.76,PE,1666736780
Lusambo,-4.9667,23.45,70.88,97,97,2.68,CD,1666736780
Vågåmo,61.8751,9.0967,42.66,96,98,2.91,NO,1666736780
Sinnamary,5.3833,-52.95,80.8,79,97,9.89,GF,1666736781
Hay River,60.8156,-115.7999,33.78,93,100,10.36,CA,1666736588
Caravelas,-17.7125,-39.2481,71.87,92,29,5.3,BR,1666736781
Saint-Joseph,-21.3667,55.6167,66.58,76,20,10.11,RE,1666736782
Ayan,56.45,138.1667,34.47,57,100,7.56,RU,1666736782
Le Port,-20.9373,55.2919,71.56,69,19,10.13,RE,1666736783
Sabang,5.8933,95.3214,81.18,78,92,12.68,ID,1666736783
Pokosnoye,55.5258,101.0536,26.82,58,52,5.06,RU,1666736783
Narsaq,60.9167,-46.05,26.82,73,1,6.8,GL,1666736784
Tarime,-1.35,34.3667,65.34,65,93,3.65,TZ,1666736784
Manyana,-23.4,21.7167,78.84,22,75,10.8,BW,1666736784
Chincha Alta,-13.4099,-76.1323,63.19,75,14,6.78,PE,1666736785
Palivere,58.9664,23.8911,51.62,94,100,5.53,EE,1666736785
Aksarka,66.5606,67.7975,22.08,90,99,5.23,RU,1666736785
Morshansk,53.4435,41.8107,30.11,98,11,1.01,RU,1666736786
Marsh Harbour,26.5412,-77.0636,78.93,69,7,9.75,BS,1666736786
Drakhtik,40.565,45.2367,38.88,76,7,1.83,AM,1666736787
Mchinji,-13.7984,32.8802,72.82,42,90,3.83,MW,1666736787
Jonesboro,35.8423,-90.7043,55.17,66,100,23.02,US,1666736717
Bolobo,-2.1667,16.2333,70.48,97,87,1.54,CD,1666736787
Bowen,-20.0167,148.2333,81.5,79,53,3.4,AU,1666736788
Sri Aman,1.2376,111.4621,73.45,94,99,2.3,MY,1666736788
Lukulu,-14.3707,23.242,72.91,44,40,4.25,ZM,1666736788
Letterkenny,54.95,-7.7333,55.2,97,100,14.29,IE,1666736789
Berdigestyakh,62.0989,126.6992,25.29,95,100,7.45,RU,1666736882
Labuhan,-6.8844,112.2051,77.79,81,87,11.92,ID,1666736789
Djibo,14.1022,-1.6306,88.34,19,8,8.12,BF,1666736883
Ngunguru,-35.6167,174.5,60.67,68,31,10.31,NZ,1666736790
Litein,-0.5823,35.1903,54.64,75,73,3.42,KE,1666736790
Revda,56.801,59.9303,26.64,96,83,4.74,RU,1666736790
Macas,-2.3167,-78.1167,76.75,78,75,3.44,EC,1666736791
Husavik,66.0449,-17.3389,35.53,87,100,7.0,IS,1666736791
Preobrazheniye,42.9019,133.9064,43.57,74,19,6.71,RU,1666736791
Itaqui,-29.1253,-56.5531,74.21,51,0,7.09,BR,1666736792
Isiro,2.7739,27.616,66.31,99,96,1.95,CD,1666736792
Blackwater,-23.5833,148.8833,79.63,30,7,5.68,AU,1666736792
Yining,29.0361,114.5636,60.04,49,85,1.36,CN,1666736792
Pyaozerskiy,65.8333,31.1667,30.49,85,97,6.46,RU,1666736793
Ligayan,4.6533,119.4706,81.61,80,96,12.06,PH,1666736793
Marabba,12.35,32.1833,83.48,21,8,11.88,SD,1666736793
Manzhouli,49.6,117.4333,26.58,52,37,12.35,CN,1666736794
North Platte,41.1239,-100.7654,63.12,27,1,4.0,US,1666736794
Mackenzie,55.2999,-123.1698,37.62,81,75,10.36,CA,1666736709
Maţāy,28.419,30.7792,69.85,64,13,5.97,EG,1666736885
Magadan,59.5667,150.8,23.14,89,62,10.04,RU,1666736795
Brunsbüttel,53.9,9.15,53.01,92,38,1.01,DE,1666736795
San Luis,-33.295,-66.3356,78.49,44,75,16.11,AR,1666736795
Nabire,-3.3667,135.4833,77.5,86,100,2.8,ID,1666736707
Mahenge,-8.6833,36.7167,63.37,77,98,3.94,TZ,1666736796
Krasnyy Oktyabr',56.1167,38.8833,30.0,92,22,4.56,RU,1666736796
Roebourne,-20.7833,117.1333,74.03,32,0,10.25,AU,1666736796
Tarauacá,-8.1614,-70.7656,86.56,60,39,1.63,BR,1666736786
Anlu,31.1661,112.5831,57.92,82,100,6.6,CN,1666736797
Novikovo,51.1537,37.8879,47.68,88,100,8.08,RU,1666736797
Kondinskoye,59.6481,67.41,28.36,91,11,5.23,RU,1666736529
Northam,51.0333,-4.2167,59.61,92,100,22.86,GB,1666736797
